filename,width,height,class,xmin,ymin,xmax,ymax
----------0317_jpg.rf.4e12a5a6420214bc4cc859afe3a0f240.jpg,416,416,lateral raises machine,0,177,346,416
----0207_jpg.rf.4de0722cc9a5eb0f7fc6faa26b77b098.jpg,416,416,arm curl machine,24,35,381,396
----0602_jpg.rf.4e095aec79412bc90f869f362361ea9a.jpg,416,416,chinning dipping,118,85,268,341
Chest-Press-machine_35_jpg.rf.4dc318c8e1bea7fa89bfa8df8a6717cf.jpg,416,416,Chest Press machine,53,1,372,411
google_0272_jpg.rf.4e47019c843398d108bf5e2784ef4b56.jpg,416,416,Chest Press machine,38,0,376,416
---------1063_jpg.rf.4dd45c33082b98628a2815681966a52e.jpg,416,416,shoulder press machine,17,97,416,407
google_0026_jpg.rf.4dcd4ac7e2f10e358a4c09b51c84b5a3.jpg,416,416,Chest Press machine,30,16,382,393
------0344_jpg.rf.4e5b1df5b264041e782b9c3135608cc1.jpg,416,416,smith machine,58,9,358,404
google_0519_jpg.rf.4dc29947aec2ce55f10a170b38f5f64d.jpg,416,416,leg extension,2,59,416,395
google_0109b_jpg.rf.4e66317cc8b9802c08167037163c76ca.jpg,416,416,seated dip machine,55,77,364,358
naver_0428_jpg.rf.4e03a3f44ff1f43467fe2c839b949c25.jpg,416,416,Chest Press machine,92,0,283,416
naver_0108a_jpg.rf.4e01c8508e1c6a2a0ee5f456109ee79b.jpg,416,416,Seated Cable Rows,0,53,401,415
Chest-fly-machine_23_jpg.rf.4e5d3536e06a36afe871a3061067b3d7.jpg,416,416,chest fly machine,89,58,379,381
------0364_jpg.rf.4e44bca511e99d61d62a148cc76366bf.jpg,416,416,smith machine,17,35,404,391
google_0231_jpg.rf.4e8712dc937b1558df2d521715d295f0.jpg,416,416,leg press,48,39,378,253
naver_0131_jpg.rf.4e2f099f5c76cd8382ea93d7d6fc2982.jpg,416,416,reg curl machine,11,51,406,412
google_0072_jpg.rf.4e55cb91a9c388be7819ff110ef53804.jpg,416,416,leg extension,30,17,384,393
----0053_png.rf.4df0433227b6cd91ffd33c196f2523c6.jpg,416,416,chinning dipping,95,10,287,405
----0048_jpg.rf.4e04d942107b7ada0e806565619ef099.jpg,416,416,chinning dipping,105,14,293,400
naver_0125a_jpg.rf.4de564dd8ac41697cf3737f589f7f1d2.jpg,416,416,reg curl machine,55,181,388,413
----------0080_jpg.rf.4dce1b67f08ab69f3c4856a29049072a.jpg,416,416,lateral raises machine,31,86,404,407
